product id,product name,category,warehouse,location,quantity,price,supplier,status,last restocked
1702, gadget x ,ELECTRONICS,Warehouse 3,Aisle 5,100,29.99,Supplier C,Out of Stock,15/01/2023
1729, widget a ,CLOTHING,Warehouse 3,Aisle 4,150,19.99,Supplier A,In Stock,25/04/2023
1957, gadget x ,ELECTRONICS,Warehouse 1,Aisle 2,150,49.99,Supplier A,Low Stock,20/12/2022
1815, gadget y ,TOYS,Warehouse 2,Aisle 5,300,28.310726172465966,Supplier C,Low Stock,20/12/2022
1270, widget b ,CLOTHING,Warehouse 3,Aisle 5,two hundred,19.99,Supplier B,Out of Stock,25/04/2023
1455, gadget y ,FURNITURE,Warehouse 2,Aisle 3,100,28.310726172465966,Supplier B,Low Stock,05/03/2023
1461, gadget z ,TOYS,Warehouse 2,Aisle 4,two hundred,28.310726172465966,Supplier B,In Stock,15/01/2023
1726, widget c ,ELECTRONICS,Warehouse 3,Aisle 1,two hundred,9.99,Supplier B,In Stock,15/01/2023
1701, widget c ,TOYS,Warehouse 2,Aisle 4,100,29.99,Supplier C,Out of Stock,25/04/2023
1724, widget a ,ELECTRONICS,Warehouse 3,Aisle 5,150,9.99,Supplier B,Out of Stock,15/01/2023
1719, widget c ,FURNITURE,Warehouse 1,Aisle 1,100,28.310726172465966,Supplier C,Out of Stock,20/12/2022
1748, gadget z ,CLOTHING,Warehouse 2,Aisle 1,300,49.99,Supplier C,Low Stock,05/03/2023
1337, gadget x ,FURNITURE,Warehouse 3,Aisle 5,50,28.310726172465966,Supplier B,Out of Stock,25/04/2023
1878, gadget x ,TOYS,Warehouse 2,Aisle 2,150,9.99,Supplier D,In Stock,20/12/2022
1052, widget a ,FURNITURE,Warehouse 3,Aisle 5,50,29.99,Supplier C,Low Stock,05/03/2023
1791, widget c ,ELECTRONICS,Warehouse 1,Aisle 5,300,28.310726172465966,Supplier D,Out of Stock,25/04/2023
1921, widget c ,TOYS,Warehouse 1,Aisle 3,100,49.99,Supplier C,In Stock,25/04/2023
1216, widget c ,CLOTHING,Warehouse 1,Aisle 3,300,28.310726172465966,Supplier C,Low Stock,15/01/2023
1763, gadget y ,ELECTRONICS,Warehouse 1,Aisle 3,150,19.99,Supplier B,In Stock,20/12/2022
1187, widget b ,ELECTRONICS,Warehouse 2,Aisle 2,two hundred,28.310726172465966,Supplier C,In Stock,25/04/2023
1379, gadget y ,CLOTHING,Warehouse 2,Aisle 2,100,9.99,Supplier A,In Stock,25/04/2023
1040, widget c ,FURNITURE,Warehouse 1,Aisle 3,50,29.99,Supplier B,Low Stock,15/01/2023
1014, gadget y ,CLOTHING,Warehouse 2,Aisle 1,100,19.99,Supplier D,Out of Stock,15/01/2023
1064, widget b ,TOYS,Warehouse 1,Aisle 4,100,28.310726172465966,Supplier A,In Stock,20/12/2022
1856, gadget x ,CLOTHING,Warehouse 1,Aisle 5,150,9.99,Supplier D,Low Stock,20/12/2022
1838, widget b ,CLOTHING,Warehouse 3,Aisle 4,150,9.99,Supplier D,Out of Stock,25/04/2023
1520, gadget y ,FURNITURE,Warehouse 1,Aisle 3,150,19.99,Supplier B,In Stock,20/12/2022
1343, gadget z ,ELECTRONICS,Warehouse 3,Aisle 4,300,28.310726172465966,Supplier D,Out of Stock,25/04/2023
1647, gadget z ,ELECTRONICS,Warehouse 1,Aisle 1,150,49.99,Supplier A,In Stock,20/12/2022
1471, widget a ,ELECTRONICS,Warehouse 3,Aisle 4,100,29.99,Supplier A,Low Stock,15/01/2023
1062, gadget y ,CLOTHING,Warehouse 1,Aisle 5,150,9.99,Supplier B,In Stock,15/01/2023
1138, widget a ,TOYS,Warehouse 2,Aisle 3,two hundred,29.99,Supplier B,Out of Stock,20/12/2022
1498, gadget x ,TOYS,Warehouse 2,Aisle 5,150,19.99,Supplier C,Low Stock,15/01/2023
1592, widget b ,FURNITURE,Warehouse 2,Aisle 2,300,49.99,Supplier D,Out of Stock,20/12/2022
1674, widget b ,CLOTHING,Warehouse 3,Aisle 4,two hundred,19.99,Supplier A,Out of Stock,20/12/2022
1288, gadget z ,TOYS,Warehouse 1,Aisle 5,300,9.99,Supplier B,In Stock,15/01/2023
1378, widget b ,ELECTRONICS,Warehouse 1,Aisle 1,300,19.99,Supplier B,Low Stock,05/03/2023
1772, gadget y ,CLOTHING,Warehouse 2,Aisle 3,100,9.99,Supplier B,Out of Stock,20/12/2022
1489, widget c ,CLOTHING,Warehouse 2,Aisle 4,300,9.99,Supplier C,In Stock,15/01/2023
1230, widget a ,ELECTRONICS,Warehouse 1,Aisle 2,100,28.310726172465966,Supplier A,Low Stock,25/04/2023
1040, widget b ,CLOTHING,Warehouse 2,Aisle 1,300,29.99,Supplier C,Low Stock,20/12/2022
1027, widget a ,CLOTHING,Warehouse 1,Aisle 2,50,19.99,Supplier C,Low Stock,20/12/2022
1134, widget a ,FURNITURE,Warehouse 1,Aisle 3,two hundred,19.99,Supplier D,Out of Stock,05/03/2023
1779, widget c ,FURNITURE,Warehouse 1,Aisle 4,two hundred,28.310726172465966,Supplier B,Low Stock,20/12/2022
1929, gadget y ,TOYS,Warehouse 1,Aisle 5,two hundred,49.99,Supplier B,Out of Stock,15/01/2023
1047, widget b ,FURNITURE,Warehouse 2,Aisle 5,50,49.99,Supplier C,Out of Stock,25/04/2023
1406, widget a ,TOYS,Warehouse 1,Aisle 3,two hundred,19.99,Supplier B,Low Stock,20/12/2022
1573, widget a ,ELECTRONICS,Warehouse 2,Aisle 3,100,29.99,Supplier A,Out of Stock,25/04/2023
1098, gadget x ,CLOTHING,Warehouse 1,Aisle 3,50,19.99,Supplier A,In Stock,05/03/2023
1683, gadget z ,CLOTHING,Warehouse 3,Aisle 5,300,28.310726172465966,Supplier D,Low Stock,20/12/2022
1871, gadget z ,ELECTRONICS,Warehouse 3,Aisle 4,300,28.310726172465966,Supplier B,Low Stock,15/01/2023
1725, widget b ,FURNITURE,Warehouse 2,Aisle 5,50,9.99,Supplier A,Out of Stock,25/04/2023
1986, gadget x ,CLOTHING,Warehouse 3,Aisle 3,300,28.310726172465966,Supplier D,In Stock,20/12/2022
1738, gadget y ,TOYS,Warehouse 3,Aisle 1,50,49.99,Supplier A,Low Stock,20/12/2022
1461, widget c ,ELECTRONICS,Warehouse 1,Aisle 2,100,9.99,Supplier A,Low Stock,20/12/2022
1768, widget c ,FURNITURE,Warehouse 1,Aisle 1,100,28.310726172465966,Supplier B,Low Stock,15/01/2023
1502, gadget x ,TOYS,Warehouse 1,Aisle 2,two hundred,29.99,Supplier A,In Stock,20/12/2022
1766, gadget y ,CLOTHING,Warehouse 1,Aisle 4,two hundred,49.99,Supplier C,Out of Stock,15/01/2023
1397, widget b ,ELECTRONICS,Warehouse 1,Aisle 4,100,29.99,Supplier A,In Stock,05/03/2023
1870, widget b ,ELECTRONICS,Warehouse 3,Aisle 4,150,19.99,Supplier D,Low Stock,05/03/2023
1794, gadget z ,CLOTHING,Warehouse 3,Aisle 2,two hundred,19.99,Supplier B,In Stock,25/04/2023
1014, widget a ,FURNITURE,Warehouse 3,Aisle 1,150,28.310726172465966,Supplier D,Out of Stock,15/01/2023
1857, gadget y ,CLOTHING,Warehouse 3,Aisle 3,300,29.99,Supplier A,Out of Stock,05/03/2023
1553, gadget x ,FURNITURE,Warehouse 1,Aisle 3,100,29.99,Supplier C,Low Stock,25/04/2023
1891, widget b ,FURNITURE,Warehouse 1,Aisle 1,two hundred,49.99,Supplier B,Out of Stock,15/01/2023
1690, widget a ,TOYS,Warehouse 2,Aisle 2,150,9.99,Supplier B,Out of Stock,05/03/2023
1574, gadget z ,FURNITURE,Warehouse 3,Aisle 1,100,49.99,Supplier A,Out of Stock,25/04/2023
1863, widget b ,CLOTHING,Warehouse 2,Aisle 3,150,9.99,Supplier C,In Stock,20/12/2022
1742, gadget z ,TOYS,Warehouse 3,Aisle 5,150,29.99,Supplier A,Out of Stock,05/03/2023
1240, gadget x ,ELECTRONICS,Warehouse 3,Aisle 3,150,49.99,Supplier A,Low Stock,25/04/2023
1563, widget a ,ELECTRONICS,Warehouse 3,Aisle 2,two hundred,49.99,Supplier A,In Stock,15/01/2023
1095, widget a ,ELECTRONICS,Warehouse 3,Aisle 4,100,19.99,Supplier D,Low Stock,20/12/2022
1899, gadget y ,CLOTHING,Warehouse 3,Aisle 3,150,29.99,Supplier D,In Stock,25/04/2023
1733, gadget x ,FURNITURE,Warehouse 3,Aisle 4,150,29.99,Supplier D,Low Stock,25/04/2023
1406, gadget x ,CLOTHING,Warehouse 2,Aisle 3,100,29.99,Supplier A,Out of Stock,05/03/2023
1748, widget c ,FURNITURE,Warehouse 1,Aisle 4,two hundred,19.99,Supplier D,Out of Stock,20/12/2022
1654, widget a ,TOYS,Warehouse 2,Aisle 5,100,49.99,Supplier A,In Stock,25/04/2023
1540, widget b ,ELECTRONICS,Warehouse 2,Aisle 1,100,29.99,Supplier B,Low Stock,05/03/2023
1035, gadget x ,ELECTRONICS,Warehouse 2,Aisle 1,100,49.99,Supplier A,In Stock,20/12/2022
1524, gadget z ,CLOTHING,Warehouse 3,Aisle 1,300,49.99,Supplier B,In Stock,15/01/2023
1838, widget a ,FURNITURE,Warehouse 3,Aisle 3,50,28.310726172465966,Supplier C,In Stock,20/12/2022
1698, gadget x ,CLOTHING,Warehouse 1,Aisle 3,100,29.99,Supplier D,Out of Stock,15/01/2023
1085, widget b ,CLOTHING,Warehouse 2,Aisle 5,150,28.310726172465966,Supplier D,In Stock,20/12/2022
1795, widget a ,FURNITURE,Warehouse 3,Aisle 5,50,49.99,Supplier B,Low Stock,20/12/2022
1681, gadget z ,CLOTHING,Warehouse 3,Aisle 5,150,49.99,Supplier B,In Stock,20/12/2022
1556, gadget x ,CLOTHING,Warehouse 1,Aisle 3,50,49.99,Supplier C,Out of Stock,25/04/2023
1645, widget c ,CLOTHING,Warehouse 1,Aisle 2,100,49.99,Supplier C,Low Stock,15/01/2023
1795, widget c ,CLOTHING,Warehouse 1,Aisle 5,300,29.99,Supplier B,In Stock,15/01/2023
1555, gadget y ,ELECTRONICS,Warehouse 3,Aisle 1,100,19.99,Supplier C,In Stock,20/12/2022
1339, widget a ,FURNITURE,Warehouse 2,Aisle 3,150,19.99,Supplier A,Low Stock,20/12/2022
1797, widget a ,ELECTRONICS,Warehouse 3,Aisle 1,100,49.99,Supplier C,Out of Stock,15/01/2023
1957, gadget y ,ELECTRONICS,Warehouse 2,Aisle 3,300,29.99,Supplier A,Out of Stock,25/04/2023
1330, gadget z ,ELECTRONICS,Warehouse 2,Aisle 3,100,49.99,Supplier A,In Stock,15/01/2023
1639, gadget y ,ELECTRONICS,Warehouse 1,Aisle 2,50,28.310726172465966,Supplier D,Low Stock,15/01/2023
1472, gadget x ,ELECTRONICS,Warehouse 2,Aisle 3,300,28.310726172465966,Supplier A,In Stock,20/12/2022
1189, widget c ,FURNITURE,Warehouse 1,Aisle 4,300,29.99,Supplier C,Low Stock,05/03/2023
1224, gadget z ,FURNITURE,Warehouse 3,Aisle 1,150,29.99,Supplier C,In Stock,05/03/2023
1384, gadget z ,TOYS,Warehouse 2,Aisle 5,50,29.99,Supplier C,Out of Stock,05/03/2023
1376, gadget z ,FURNITURE,Warehouse 3,Aisle 1,50,29.99,Supplier D,Out of Stock,25/04/2023
1282, widget a ,FURNITURE,Warehouse 2,Aisle 5,two hundred,9.99,Supplier A,Out of Stock,15/01/2023
1632, widget c ,FURNITURE,Warehouse 1,Aisle 5,150,28.310726172465966,Supplier B,Low Stock,20/12/2022
1627, gadget y ,FURNITURE,Warehouse 2,Aisle 4,50,29.99,Supplier A,Low Stock,05/03/2023
1744, gadget z ,FURNITURE,Warehouse 1,Aisle 1,150,29.99,Supplier D,In Stock,05/03/2023
1258, widget b ,TOYS,Warehouse 1,Aisle 4,300,9.99,Supplier D,In Stock,05/03/2023
1358, gadget x ,FURNITURE,Warehouse 3,Aisle 3,300,29.99,Supplier B,Low Stock,20/12/2022
1709, gadget x ,FURNITURE,Warehouse 2,Aisle 2,100,19.99,Supplier B,Out of Stock,25/04/2023
1455, widget c ,TOYS,Warehouse 2,Aisle 1,two hundred,19.99,Supplier D,In Stock,15/01/2023
1410, gadget x ,CLOTHING,Warehouse 1,Aisle 2,50,49.99,Supplier B,Out of Stock,25/04/2023
1317, gadget z ,CLOTHING,Warehouse 2,Aisle 3,300,28.310726172465966,Supplier B,In Stock,25/04/2023
1818, gadget z ,TOYS,Warehouse 3,Aisle 4,100,29.99,Supplier D,In Stock,15/01/2023
1826, widget c ,ELECTRONICS,Warehouse 2,Aisle 5,100,19.99,Supplier B,In Stock,05/03/2023
1373, widget b ,TOYS,Warehouse 2,Aisle 3,150,9.99,Supplier A,Out of Stock,05/03/2023
1607, gadget y ,CLOTHING,Warehouse 3,Aisle 2,two hundred,29.99,Supplier A,Low Stock,15/01/2023
1471, gadget x ,ELECTRONICS,Warehouse 1,Aisle 1,150,28.310726172465966,Supplier C,Low Stock,20/12/2022
1232, gadget y ,FURNITURE,Warehouse 1,Aisle 2,150,19.99,Supplier C,Out of Stock,15/01/2023
1829, gadget z ,CLOTHING,Warehouse 1,Aisle 4,150,49.99,Supplier A,Out of Stock,20/12/2022
1496, gadget x ,FURNITURE,Warehouse 1,Aisle 2,50,49.99,Supplier C,In Stock,25/04/2023
1441, widget c ,CLOTHING,Warehouse 2,Aisle 2,two hundred,28.310726172465966,Supplier B,Out of Stock,25/04/2023
1563, gadget x ,FURNITURE,Warehouse 1,Aisle 2,150,49.99,Supplier C,In Stock,20/12/2022
1267, widget a ,CLOTHING,Warehouse 2,Aisle 5,50,19.99,Supplier B,Low Stock,25/04/2023
1509, gadget x ,FURNITURE,Warehouse 2,Aisle 4,50,28.310726172465966,Supplier C,In Stock,05/03/2023
1806, widget a ,TOYS,Warehouse 2,Aisle 2,50,29.99,Supplier B,Out of Stock,25/04/2023
1385, gadget x ,TOYS,Warehouse 3,Aisle 3,300,19.99,Supplier B,Out of Stock,25/04/2023
1386, widget a ,TOYS,Warehouse 3,Aisle 3,300,19.99,Supplier B,Low Stock,25/04/2023
1112, widget b ,TOYS,Warehouse 3,Aisle 5,50,19.99,Supplier B,Out of Stock,05/03/2023
1612, gadget z ,TOYS,Warehouse 2,Aisle 5,300,29.99,Supplier D,In Stock,25/04/2023
1951, gadget y ,CLOTHING,Warehouse 3,Aisle 1,50,49.99,Supplier C,Low Stock,20/12/2022
1112, gadget x ,FURNITURE,Warehouse 1,Aisle 5,50,28.310726172465966,Supplier B,In Stock,15/01/2023
1001, gadget y ,FURNITURE,Warehouse 1,Aisle 5,two hundred,49.99,Supplier C,Low Stock,20/12/2022
1641, widget c ,FURNITURE,Warehouse 2,Aisle 3,50,29.99,Supplier D,Out of Stock,15/01/2023
1219, widget c ,TOYS,Warehouse 2,Aisle 5,50,19.99,Supplier B,Low Stock,15/01/2023
1854, gadget z ,TOYS,Warehouse 1,Aisle 1,50,29.99,Supplier B,Out of Stock,15/01/2023
1996, widget b ,ELECTRONICS,Warehouse 3,Aisle 1,two hundred,9.99,Supplier A,In Stock,15/01/2023
1224, gadget y ,FURNITURE,Warehouse 2,Aisle 2,100,28.310726172465966,Supplier B,In Stock,25/04/2023
1384, widget b ,FURNITURE,Warehouse 3,Aisle 2,100,29.99,Supplier A,Out of Stock,25/04/2023
1129, gadget y ,FURNITURE,Warehouse 3,Aisle 4,two hundred,49.99,Supplier C,In Stock,15/01/2023
1052, widget b ,CLOTHING,Warehouse 1,Aisle 2,150,19.99,Supplier A,In Stock,15/01/2023
1671, gadget y ,ELECTRONICS,Warehouse 1,Aisle 4,100,29.99,Supplier B,In Stock,05/03/2023
1709, widget a ,ELECTRONICS,Warehouse 1,Aisle 5,two hundred,29.99,Supplier A,In Stock,25/04/2023
1415, widget a ,ELECTRONICS,Warehouse 1,Aisle 4,two hundred,28.310726172465966,Supplier C,Low Stock,20/12/2022
1246, widget a ,TOYS,Warehouse 3,Aisle 5,150,19.99,Supplier C,Out of Stock,25/04/2023
1835, widget c ,FURNITURE,Warehouse 3,Aisle 3,150,28.310726172465966,Supplier D,In Stock,15/01/2023
1202, widget c ,TOYS,Warehouse 3,Aisle 4,two hundred,28.310726172465966,Supplier C,In Stock,05/03/2023
1122, widget a ,CLOTHING,Warehouse 1,Aisle 2,100,49.99,Supplier C,In Stock,05/03/2023
1400, gadget y ,ELECTRONICS,Warehouse 2,Aisle 2,50,28.310726172465966,Supplier B,Low Stock,25/04/2023
1766, gadget z ,CLOTHING,Warehouse 3,Aisle 3,150,29.99,Supplier D,In Stock,15/01/2023
1293, gadget x ,ELECTRONICS,Warehouse 3,Aisle 1,50,28.310726172465966,Supplier D,Out of Stock,20/12/2022
1836, widget b ,ELECTRONICS,Warehouse 1,Aisle 1,150,28.310726172465966,Supplier C,Low Stock,05/03/2023
1883, gadget z ,TOYS,Warehouse 3,Aisle 1,50,9.99,Supplier B,In Stock,20/12/2022
1197, widget c ,TOYS,Warehouse 2,Aisle 2,100,9.99,Supplier A,In Stock,05/03/2023
1906, widget b ,FURNITURE,Warehouse 1,Aisle 2,300,29.99,Supplier A,Low Stock,25/04/2023
1510, gadget x ,FURNITURE,Warehouse 3,Aisle 2,150,29.99,Supplier A,Out of Stock,20/12/2022
1751, widget c ,FURNITURE,Warehouse 1,Aisle 1,two hundred,29.99,Supplier D,Low Stock,15/01/2023
1143, widget c ,TOYS,Warehouse 3,Aisle 2,100,9.99,Supplier D,In Stock,05/03/2023
1608, widget a ,FURNITURE,Warehouse 2,Aisle 1,50,49.99,Supplier C,In Stock,15/01/2023
1200, gadget z ,ELECTRONICS,Warehouse 2,Aisle 5,150,19.99,Supplier C,In Stock,20/12/2022
1123, gadget x ,CLOTHING,Warehouse 3,Aisle 4,two hundred,29.99,Supplier C,Low Stock,20/12/2022
1325, widget c ,ELECTRONICS,Warehouse 2,Aisle 5,two hundred,9.99,Supplier C,In Stock,05/03/2023
1348, gadget y ,TOYS,Warehouse 2,Aisle 3,150,9.99,Supplier C,Out of Stock,20/12/2022
1770, gadget z ,CLOTHING,Warehouse 3,Aisle 1,300,19.99,Supplier D,Low Stock,05/03/2023
1659, gadget x ,FURNITURE,Warehouse 3,Aisle 1,300,49.99,Supplier C,Low Stock,15/01/2023
1763, gadget z ,TOYS,Warehouse 3,Aisle 3,two hundred,49.99,Supplier B,Low Stock,25/04/2023
1931, gadget y ,ELECTRONICS,Warehouse 1,Aisle 1,two hundred,29.99,Supplier A,Low Stock,20/12/2022
1402, gadget y ,ELECTRONICS,Warehouse 1,Aisle 3,150,19.99,Supplier B,Out of Stock,20/12/2022
1345, gadget y ,FURNITURE,Warehouse 1,Aisle 2,150,28.310726172465966,Supplier C,Out of Stock,15/01/2023
1962, widget c ,TOYS,Warehouse 2,Aisle 4,50,28.310726172465966,Supplier D,Low Stock,20/12/2022
1510, widget c ,TOYS,Warehouse 2,Aisle 4,300,9.99,Supplier B,In Stock,05/03/2023
1146, gadget z ,ELECTRONICS,Warehouse 2,Aisle 4,50,19.99,Supplier A,In Stock,20/12/2022
1147, widget b ,TOYS,Warehouse 2,Aisle 2,100,19.99,Supplier C,Low Stock,25/04/2023
1863, gadget z ,CLOTHING,Warehouse 2,Aisle 3,150,9.99,Supplier A,Low Stock,05/03/2023
1819, widget a ,FURNITURE,Warehouse 2,Aisle 3,two hundred,29.99,Supplier B,Low Stock,20/12/2022
1488, gadget y ,ELECTRONICS,Warehouse 2,Aisle 1,300,9.99,Supplier A,Out of Stock,20/12/2022
1928, widget b ,TOYS,Warehouse 1,Aisle 4,300,29.99,Supplier C,Low Stock,25/04/2023
1639, widget b ,ELECTRONICS,Warehouse 1,Aisle 5,two hundred,9.99,Supplier D,In Stock,15/01/2023
